"","Country","WDPAID","NAME","DESIG","PA.Name","paper","Grouping"
"24","Australia",95317,"Moreton Bay","Ramsar Site, Wetland of International Importance","Moreton Bay Ramsar Site, Wetland of International Importance","95317_Moreton_Island_national_park_and_cape_moreton_conservation_park.pdf","Oceania"
"25","Australia",354088,"Nelson","Commonwealth Marine Reserve","Nelson Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"26","Australia",354080,"East Gippsland","Commonwealth Marine Reserve","East Gippsland Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"27","Australia",198306,"Great Sandy Strait (including Great Sandy Strait, Tin Can Bay and Tin Can Inlet)","Ramsar Site, Wetland of International Importance","Great Sandy Strait (including Great Sandy Strait, Tin Can Bay and Tin Can Inlet) Ramsar Site, Wetland of International Importance","198306_Great_sandy_region.pdf","Oceania"
"28","Australia",354076,"Apollo","Commonwealth Marine Reserve","Apollo Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"30","Australia",67784,"Towra Point Nature Reserve","Ramsar Site, Wetland of International Importance","Towra Point Nature Reserve Ramsar Site, Wetland of International Importance","67784_Towra_point_nature_reserve.pdf","Oceania"
"31","Australia",354087,"Murray","Commonwealth Marine Reserve","Murray Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"32","Australia",354078,"Boags","Commonwealth Marine Reserve","Boags Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"33","Australia",900736,"Elizabeth and Middleton Reefs Marine National Nature Reserve","Ramsar Site, Wetland of International Importance","Elizabeth and Middleton Reefs Marine National Nature Reserve Ramsar Site, Wetland of International Importance","900736_Elizabeth_and_Middleton_reefs_national_nature_reserve.pdf","Oceania"
"34","Australia",354090,"Tasman Fracture","Commonwealth Marine Reserve","Tasman Fracture Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"35","Australia",95318,"Bowling Green Bay","Ramsar Site, Wetland of International Importance","Bowling Green Bay Ramsar Site, Wetland of International Importance","95318_Bowling_green_bay_national_park.pdf","Oceania"
"36","Australia",67794,"Roebuck Bay","Ramsar Site, Wetland of International Importance","Roebuck Bay Ramsar Site, Wetland of International Importance","67794_Roebuck_bay.pdf","Oceania"
"37","Australia",67795,"Eighty-mile Beach","Ramsar Site, Wetland of International Importance","Eighty-mile Beach Ramsar Site, Wetland of International Importance","67795_Eighty-mile_beach.pdf","Oceania"
"38","Australia",354086,"Macquarie Island","Commonwealth Marine Reserve","Macquarie Island Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"40","Australia",354081,"Flinders","Commonwealth Marine Reserve","Flinders Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"42","Australia",900738,"The Dales","Ramsar Site, Wetland of International Importance","The Dales Ramsar Site, Wetland of International Importance","900738_TheDales.pdf","Oceania"
"43","Australia",67774,"Corner Inlet","Ramsar Site, Wetland of International Importance","Corner Inlet Ramsar Site, Wetland of International Importance","67774_Corner_inlet_marine_national_park.pdf","Oceania"
"44","Australia",354091,"Zeehan","Commonwealth Marine Reserve","Zeehan Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"45","Australia",67763,"Kakadu National Park","Ramsar Site, Wetland of International Importance","Kakadu National Park Ramsar Site, Wetland of International Importance","67763_Kakadu_national_park.pdf","Oceania"
"49","Bahamas",315003,"Moriah Harbour Cay National Park","National Park","Moriah Harbour Cay National Park National Park","315003_Moriah Harbour Cay National Park.pdf","Caribbean"
"50","Bahamas",315001,"Walker's Cay National Park","National Park","Walker's Cay National Park National Park","11839_315001_555592579_AbacoMarineParks.pdf","Caribbean"
"53","Bahamas",555592584,"South Berry Islands Marine Reserve","Marine Reserve","South Berry Islands Marine Reserve Marine Reserve","555592584_South_Berry_Islands_Marine_Reserve.pdf","Caribbean"
"55","Bahamas",11839,"Pelican Cays Land And Sea Park","National Park","Pelican Cays Land And Sea Park National Park","11839_315001_555592579_AbacoMarineParks.pdf","Caribbean"
"60","Bahamas",555625715,"Pigeon Creek & Snow Bay National Park","National Park","Pigeon Creek & Snow Bay National Park National Park","555625715_Pigeon_Creek_Snow_Bay_National_Park.pdf","Caribbean"
"61","Bahamas",555592579,"Fowl Cays National Park","National Park","Fowl Cays National Park National Park","11839_315001_555592579_AbacoMarineParks.pdf","Caribbean"
"64","Belize",555624215,"Hol Chan","Specially Protected Area (Cartagena Convention)","Hol Chan Specially Protected Area (Cartagena Convention)","555624215_Hol_Chan_Marine_Reserve.pdf","C.Amer.-Mex."
"65","Belize",555624213,"Port Honduras","Specially Protected Area (Cartagena Convention)","Port Honduras Specially Protected Area (Cartagena Convention)","555624213_Port_Honduras.pdf","C.Amer.-Mex."
"66","Belize",555624214,"Glover's Reef","Specially Protected Area (Cartagena Convention)","Glover's Reef Specially Protected Area (Cartagena Convention)","555624214_Glovers_Reef_Marine_Reserve.pdf","C.Amer.-Mex."
"68","Canada",18503,"Mansons Landing Park","A - Park","Mansons Landing Park A - Park","18503_Mansons Landing Provincial Park_PS.pdf","Canada"
"69","Canada",18398,"Race Rocks Ecological Reserve","Ecological Reserve","Race Rocks Ecological Reserve Ecological Reserve","18398_Race Rocks ER_MP.pdf","Canada"
"70","Canada",13111,"Newcastle Island Marine Park","A - Park","Newcastle Island Marine Park A - Park","13111_Newcastle Island_MP.pdf","Canada"
"72","Canada",65387,"Sandwell Park","A - Park","Sandwell Park A - Park","65387_Sandwell Provincial Park_PS_ZP.pdf","Canada"
"73","Canada",18166,"Cape Jourimain National Wildlife Area","National Wildlife Area","Cape Jourimain National Wildlife Area National Wildlife Area","18166_CapeJourimain_NWA.pdf","Canada"
"74","Canada",101651,"Jedediah Island Marine Park","A - Park","Jedediah Island Marine Park A - Park","101651_Jebediah Island Marine Provincial Park_MP.pdf","Canada"
"76","Canada",13102,"Garden Bay Marine Park","A - Park","Garden Bay Marine Park A - Park","13102_Garden Bay Provincial Park_MP.pdf","Canada"
"77","Canada",18407,"Satellite Channel Ecological Reserve","Ecological Reserve","Satellite Channel Ecological Reserve Ecological Reserve","18407_Satellite Channel ER_PS.pdf","Canada"
"80","Canada",18311,"Anne Vallee (Triangle Island) Ecological Reserve","Ecological Reserve","Anne Vallee (Triangle Island) Ecological Reserve Ecological Reserve","18311_Anne Vallee ER_PS.pdf","Canada"
"81","Canada",18406,"Sartine Islands Ecological Reserve","Ecological Reserve","Sartine Islands Ecological Reserve Ecological Reserve","18406_sartine_ps.pdf","Canada"
"82","Canada",13100,"Montague Harbour Marine Park","A - Park","Montague Harbour Marine Park A - Park","13100_Montague Harbour_PS.pdf","Canada"
"83","Canada",555557360,"Nang Xaldangaas Conservancy","Conservancy","Nang Xaldangaas Conservancy Conservancy","555557360_Nang Xaldangaas Conservancy_MP.pdf","Canada"
"84","Canada",555541874,"Dyfi Estuary / Aber  Dyfi","Special Protection Area (Birds Directive)","Dyfi Estuary / Aber  Dyfi Special Protection Area (Birds Directive)","68243_Dyfi_Estuary.pdf","Canada"
"85","Canada",100672,"Ivvavik National Park Of Canada","National Park","Ivvavik National Park Of Canada National Park","100672_Ivvavik_National_Park_of_Canada.pdf","Canada"
"89","Canada",555516352,"Francis Point Park","A - Park","Francis Point Park A - Park","555516352_555516352_Francis Point Park and ER_MP.pdf","Canada"
"91","Canada",67352,"Cormorant Channel Marine Park","A - Park","Cormorant Channel Marine Park A - Park","67352_Cormorant Channel Marine Provincial Park_PS_ZP.pdf","Canada"
"92","Canada",18164,"Boot Island National Wildlife Area","National Wildlife Area","Boot Island National Wildlife Area National Wildlife Area","18164_Boot_Island_National_Wildlife_Area.pdf","Canada"
"94","Canada",13114,"Thurston Bay Marine Park","A - Park","Thurston Bay Marine Park A - Park","13114_ThurstonBay_PS_ZP.pdf","Canada"
"95","Canada",101640,"Epper Passage Park","A - Park","Epper Passage Park A - Park","101640_Epper Passage Provincial Park_PS_ZP.pdf","Canada"
"98","Canada",99840,"Khutzeymateen Park (A.K.A. Khutzeymateen/K'Tzim-A-Deen Grizzly Sanctuary)","A - Park","Khutzeymateen Park (A.K.A. Khutzeymateen/K'Tzim-A-Deen Grizzly Sanctuary) A - Park","99840_555516376_555516381_Khutzeymateen_MP.pdf","Canada"
"99","Canada",65211,"Goldstream Park","A - Park","Goldstream Park A - Park","65211_Goldstream Provincial Park_MP.pdf","Canada"
"100","Canada",555512156,"Musquash Estuary Marine Protected Area","Marine Protected Area","Musquash Estuary Marine Protected Area Marine Protected Area","555512156_MusquashEstuary_MPA.pdf","Canada"
"102","Canada",67038,"Broughton Archipelago Marine Park","A - Park","Broughton Archipelago Marine Park A - Park","67038_Broughton Archipelago Provincial Park_PS_ZP.pdf","Canada"
"103","Canada",555516192,"Duu Guusd Conservancy","Conservancy","Duu Guusd Conservancy Conservancy","555516192_Duu Guusd Conservancy_MP.pdf","Canada"
"104","Canada",13390,"Kendall Island Migratory Bird Sanctuary","Migratory Bird Sanctuary","Kendall Island Migratory Bird Sanctuary Migratory Bird Sanctuary","13390_Migratory_Bird_Sanctuaries_in_Inuvialiut_Settlement_Area.pdf","Canada"
"105","Canada",555637692,"Halkett Bay Marine Park","A - Park","Halkett Bay Marine Park A - Park","555637692_Halkett bay Provincial Marine Park_MP.pdf","Canada"
"106","Canada",555516418,"SGaan Kinghlas – Bowie Seamount Marine Protected Area","Marine Protected Area","SGaan Kinghlas – Bowie Seamount Marine Protected Area Marine Protected Area","55551618_CHN_DFO_2019_SK-B_MgmtPlan.pdf","Canada"
"108","Canada",67356,"Teakerne Arm Park","A - Park","Teakerne Arm Park A - Park","67356_Teakerne Arm Park_PS.pdf","Canada"
"109","Canada",555512144,"Basin Head Marine Protected Area","Marine Protected Area","Basin Head Marine Protected Area Marine Protected Area","555512144_BasinHead_MPA.pdf","Canada"
"110","Canada",555557365,"Kunxalas Conservancy","Conservancy","Kunxalas Conservancy Conservancy","555557365_Kunxalas Heritage Site Conservancy_MP.pdf","Canada"
"111","Canada",305219,"Endeavour Hydrothermal Vents Marine Protected Area","Marine Protected Area","Endeavour Hydrothermal Vents Marine Protected Area Marine Protected Area","305219_Endeavour_MPA.pdf","Canada"
"112","Canada",99829,"Flores Island Park","A - Park","Flores Island Park A - Park","99829_Flores Island Provincial Park_PS.pdf","Canada"
"114","Canada",101669,"Sulphur Passage Park","A - Park","Sulphur Passage Park A - Park","101669_Sulphur Passage Provincial Park_PS_ZP.pdf","Canada"
"119","Canada",628,"Pacific Rim National Park Reserve Of Canada","National Park","Pacific Rim National Park Reserve Of Canada National Park","628_PacRim_NP.pdf","Canada"
"120","Canada",65425,"Strathcona Park","A - Park","Strathcona Park A - Park","65425_StrathconaPark_combined.pdf","Canada"
"121","Canada",18317,"Beresford Island Ecological Reserve","Ecological Reserve","Beresford Island Ecological Reserve Ecological Reserve","18317_Beresford Island ER_PS.pdf","Canada"
"122","Canada",101683,"Big Bunsby Marine Park","A - Park","Big Bunsby Marine Park A - Park","101683_Big Bunsby Marine Provincial Park_PS_ZP.pdf","Canada"
"124","Canada",4144,"Cape St. Mary's Ecological Reserve","Ecological Reserve","Cape St. Mary's Ecological Reserve Ecological Reserve","4144_CapeStMarys_ER-NL.pdf","Canada"
"125","Canada",18352,"Duke Of Edinburgh (Pine/Storm/Tree Islands) Ecological Reserve","Ecological Reserve","Duke Of Edinburgh (Pine/Storm/Tree Islands) Ecological Reserve Ecological Reserve","18352_Duke of Edinburgh ER_PS.pdf","Canada"
"127","Canada",555557367,"K'uuna Gwaay Conservancy","Conservancy","K'uuna Gwaay Conservancy Conservancy","555557367_Kuuna Gwaay Conservancy_MP.pdf","Canada"
"130","Canada",555557363,"Tlall Conservancy","Conservancy","Tlall Conservancy Conservancy","555557363_Tlall Conservancy_MP.pdf","Canada"
"138","Canada",18701,"Banks Island Migratory Bird Sanctuary No. 2","Migratory Bird Sanctuary","Banks Island Migratory Bird Sanctuary No. 2 Migratory Bird Sanctuary","18701_BanksIsland_MBS.pdf","Canada"
"139","Canada",555516353,"Francis Point Ecological Reserve","Ecological Reserve","Francis Point Ecological Reserve Ecological Reserve","555516352_555516352_Francis Point Park and ER_MP.pdf","Canada"
"140","Canada",4186,"Cape Scott Park","A - Park","Cape Scott Park A - Park","4186_Cape Scott Provincial Park_MP.pdf","Canada"
"141","Canada",555516381,"Khutzeymateen Inlet Conservancy","Conservancy","Khutzeymateen Inlet Conservancy Conservancy","99840_555516376_555516381_Khutzeymateen_MP.pdf","Canada"
"142","Canada",67056,"Sargeant Bay Park","A - Park","Sargeant Bay Park A - Park","67056_Sargeant Bay_MP.pdf","Canada"
"143","Canada",555516250,"Negiy/Nekite Estuary Conservancy","Conservancy","Negiy/Nekite Estuary Conservancy Conservancy","555516250_Negih Nekite Estuary Conservancy_MP.pdf","Canada"
"145","Canada",67845,"Shepody Bay","Ramsar Site, Wetland of International Importance","Shepody Bay Ramsar Site, Wetland of International Importance","67845_ShepodyBay_NWA.pdf","Canada"
"146","Canada",101646,"Gowlland Tod Park","A - Park","Gowlland Tod Park A - Park","101646_Gowlland Todd Provincial Park_MP.pdf","Canada"
"147","Canada",67841,"Chignecto","Ramsar Site, Wetland of International Importance","Chignecto Ramsar Site, Wetland of International Importance","67841_Chignecto_NWA.pdf","Canada"
"148","Canada",555516376,"Khutzeymateen Inlet West Conservancy","Conservancy","Khutzeymateen Inlet West Conservancy Conservancy","99840_555516376_555516381_Khutzeymateen_MP.pdf","Canada"
"149","Canada",555516292,"Parksville-Qualicum Beach Wildlife Management Area","Wildlife Management Area","Parksville-Qualicum Beach Wildlife Management Area Wildlife Management Area","555516292_parksville_qualicum_mp.pdf","Canada"
"151","Canada",18504,"Octopus Islands Marine Park","A - Park","Octopus Islands Marine Park A - Park","18504_Octopus Islands Provincial Park_PS.pdf","Canada"
"152","Canada",18701,"Banks Island Migratory Bird Sanctuary No. 2","Migratory Bird Sanctuary","Banks Island Migratory Bird Sanctuary No. 2 Migratory Bird Sanctuary","18701_19962_BanksIsland-CapeParry_MBS.pdf","Canada"
"154","Canada",67059,"Walsh Cove Park","A - Park","Walsh Cove Park A - Park","67059_walsh_ps.pdf","Canada"
"155","Canada",101670,"Tahsish-Kwois Park","A - Park","Tahsish-Kwois Park A - Park","101670_tahsish_kwois_ps_zp.pdf","Canada"
"157","Canada",99749,"Klewnuggit Inlet Marine Park","A - Park","Klewnuggit Inlet Marine Park A - Park","99749_Klewnuggit Inlet Marine Provincial Park_MDS.pdf","Canada"
"159","Canada",99751,"Lowe Inlet Marine Park","A - Park","Lowe Inlet Marine Park A - Park","99751_Lowe Inlet Marine Provincial Park_MDS.pdf","Canada"
"160","Canada",101721,"Huchsduwachsdu Nuyem Jees/Kitlope Heritage Conservancy","Conservancy","Huchsduwachsdu Nuyem Jees/Kitlope Heritage Conservancy Conservancy","101721_Huchsduwachsdu Nuyem Jees-Kitlope Heritage Conservancy_MP.pdf","Canada"
"162","Canada",305157,"Gulf Islands National Park Reserve Of Canada","National Park","Gulf Islands National Park Reserve Of Canada National Park","305157_GINPR_Draft_Plan_E_April_25_2013.pdf","Canada"
"163","Canada",18133,"Baccalieu Island Ecological Reserve","Ecological Reserve","Baccalieu Island Ecological Reserve Ecological Reserve","18133_BaccalieuIsland_ER-NL.pdf","Canada"
"164","Canada",99743,"Union Passage Marine Park","A - Park","Union Passage Marine Park A - Park","99713_union_passage_mds.pdf","Canada"
"166","Canada",67054,"Roscoe Bay Park","A - Park","Roscoe Bay Park A - Park","67054_Roscoe Bay Provincial Park_PS_ZP.pdf","Canada"
"167","Canada",13391,"Anderson River Delta Migratory Bird Sanctuary","Migratory Bird Sanctuary","Anderson River Delta Migratory Bird Sanctuary Migratory Bird Sanctuary","13390_Migratory_Bird_Sanctuaries_in_Inuvialiut_Settlement_Area.pdf","Canada"
"168","Canada",13105,"Copeland Islands Marine Park","A - Park","Copeland Islands Marine Park A - Park","18499_Desolation Sound Copeland Islands_MP.pdf","Canada"
"171","Canada",13396,"Quttinirpaaq National Park Of Canada","National Park","Quttinirpaaq National Park Of Canada National Park","13396_Quttinirpaaq_NP.pdf","Canada"
"177","Canada",18499,"Desolation Sound Marine Park","A - Park","Desolation Sound Marine Park A - Park","18499_Desolation Sound Copeland Islands_MP.pdf","Canada"
"179","Canada",18700,"Banks Island Migratory Bird Sanctuary No. 1","Migratory Bird Sanctuary","Banks Island Migratory Bird Sanctuary No. 1 Migratory Bird Sanctuary","13390_Migratory_Bird_Sanctuaries_in_Inuvialiut_Settlement_Area.pdf","Canada"
"181","Canada",18381,"Moore/Mckenny/Whitmore Islands Ecological Reserve","Ecological Reserve","Moore/Mckenny/Whitmore Islands Ecological Reserve Ecological Reserve","18381_Moore-McKenney-Whitmore Islands ER_PS.pdf","Canada"
"182","Canada",13107,"Pirates Cove Marine Park","A - Park","Pirates Cove Marine Park A - Park","13107_pirates_cove_mp.pdf","Canada"
"184","Canada",13109,"Rebecca Spit Marine Park","A - Park","Rebecca Spit Marine Park A - Park","13109_Rebecca Spit Provincial Park_PS_ZP.pdf","Canada"
"185","Canada",555516399,"Small Inlet Marine Park","A - Park","Small Inlet Marine Park A - Park","555516399_Small Inlet_PS_ZP.pdf","Canada"
"187","Canada",555516314,"Sabine Channel Marine Park","A - Park","Sabine Channel Marine Park A - Park","555516318_Sabine Channel Marine Provincial Park_PS_ZP.pdf","Canada"
"189","Canada",101705,"Nuchatlitz Park","A - Park","Nuchatlitz Park A - Park","101705_Nuchatlitz Provincial Park_PS.pdf","Canada"
"191","Canada",13113,"Echo Bay Marine Park","A - Park","Echo Bay Marine Park A - Park","13113_Echo Bay Marine Provincial Park_PS_ZP.pdf","Canada"
"192","Canada",555516204,"Kitasoo Spirit Bear Conservancy","Conservancy","Kitasoo Spirit Bear Conservancy Conservancy","555516204_Kitasoo Spirit Bear Conservancy_MP.pdf","Canada"
"193","Canada",18325,"Byers/Conroy/Harvey/Sinnett Islands Ecological Reserve","Ecological Reserve","Byers/Conroy/Harvey/Sinnett Islands Ecological Reserve Ecological Reserve","18325_Byers-Conroy-Harvey-Sinnett Islands ER_PS.pdf","Canada"
"194","Canada",99748,"Kitson Island Marine Park","A - Park","Kitson Island Marine Park A - Park","99748_Kitson Island Marine Provincial Park_MDS.pdf","Canada"
"197","Canada",67031,"Klaskish River Ecological Reserve","Ecological Reserve","Klaskish River Ecological Reserve Ecological Reserve","67031_Klaskish ER_ps.pdf","Canada"
"199","Canada",555512142,"Eastport – Duck Island Marine Protected Area","Marine Protected Area","Eastport – Duck Island Marine Protected Area Marine Protected Area","555512142_Eastport_MPA.pdf","Canada"
"200","Canada",67842,"Polar Bear Provincial Park","Ramsar Site, Wetland of International Importance","Polar Bear Provincial Park Ramsar Site, Wetland of International Importance","67842_PolarBear_PP-ON.pdf","Canada"
"201","Canada",99831,"Hesquiat Peninsula Park","A - Park","Hesquiat Peninsula Park A - Park","99831_Hesquiat Peninsula Provincial Park_PS.pdf","Canada"
"202","Canada",555516373,"Wawley/Seymour Estuary Conservancy","Conservancy","Wawley/Seymour Estuary Conservancy Conservancy","55516373_wawah-seymour-estuary-mp.pdf","Canada"
"207","Canada",18314,"Baeria Rocks Ecological Reserve","Ecological Reserve","Baeria Rocks Ecological Reserve Ecological Reserve","18314_Baeria Rock ER_PS.pdf","Canada"
"209","Canada",4189,"Mitlenatch Island Nature Park","A - Park","Mitlenatch Island Nature Park A - Park","4189_B_Mitlenatch Island Nature Provincial Park_PS_ZP.pdf","Canada"
"210","Canada",4184,"Naikoon Park","A - Park","Naikoon Park A - Park","4184_18426_Naikoon_TowHill_RoseSpit_MP.pdf","Canada"
"211","Canada",555516200,"Mahpahkum-Ahkwuna/Deserters-Walker Conservancy","Conservancy","Mahpahkum-Ahkwuna/Deserters-Walker Conservancy Conservancy","555516200_Mahpahkum-Deserters-Walker-Conservancy_MP.pdf","Canada"
"212","Canada",18424,"Ten Mile Point Ecological Reserve","Ecological Reserve","Ten Mile Point Ecological Reserve Ecological Reserve","18424_Ten Mile Point ER_PS.pdf","Canada"
"214","Canada",303299,"Tofino Mudflats Wildlife Management Area","Wildlife Management Area","Tofino Mudflats Wildlife Management Area Wildlife Management Area","303299_Tofino WMA Management Plan.pdf","Canada"
"215","Canada",300103,"Sirmilik National Park Of Canada","National Park","Sirmilik National Park Of Canada National Park","300103_Sirmilik_NP.pdf","Canada"
"216","Canada",18332,"Checleset Bay Ecological Reserve","Ecological Reserve","Checleset Bay Ecological Reserve Ecological Reserve","18332_Checleset Bay ER_PS.pdf","Canada"
"218","Canada",101659,"Marble River Park","A - Park","Marble River Park A - Park","101659_MarbleRiver_PP-BC_PS_ZP.pdf","Canada"
"219","Canada",65090,"Apodaca Park","A - Park","Apodaca Park A - Park","65090_Apodaca Provincial Park_MP.pdf","Canada"
"221","Canada",18432,"Vladimir J. Krajina (Port Chanal) Ecological Reserve","Ecological Reserve","Vladimir J. Krajina (Port Chanal) Ecological Reserve Ecological Reserve","18432_VladimirJKrajina_ER_MDS.pdf","Canada"
"223","Canada",555637699,"Pingo Canadian Landmark","Canadian Landmark","Pingo Canadian Landmark Canadian Landmark","55563769_Pingo_Landmark.pdf","Canada"
"224","Canada",555516357,"Skwelwil'em Squamish Estuary Wildlife Management Area","Wildlife Management Area","Skwelwil'em Squamish Estuary Wildlife Management Area Wildlife Management Area","555516357_skelwil'em__wma_mp.pdf","Canada"
"226","Canada",555516213,"Qwiquallaaq/Boat Bay Conservancy","Conservancy","Qwiquallaaq/Boat Bay Conservancy Conservancy","555516213_Qwiquallaaq Boat Bay Conservancy_MP.pdf","Canada"
"227","Canada",101688,"Dixie Cove Marine Park","A - Park","Dixie Cove Marine Park A - Park","101688_Dixie Cove Marine Provincial Park_PS_ZP.pdf","Canada"
"228","Canada",13108,"Smuggler Cove Marine Park","A - Park","Smuggler Cove Marine Park A - Park","13108_Smuggler Cove_MP.pdf","Canada"
"230","Canada",555637767,"Eastport – Round Island Marine Protected Area","Marine Protected Area","Eastport – Round Island Marine Protected Area Marine Protected Area","555512142_Eastport_MPA.pdf","Canada"
"232","Canada",303207,"Hathayim Marine Park (A.K.A. Von Donop Marine Park)","A - Park","Hathayim Marine Park (A.K.A. Von Donop Marine Park) A - Park","303207_Hathayim Marine Provincial Park_PS_ZP.pdf","Canada"
"236","Canada",555557362,"Yaaguun Gandlaay Conservancy","Conservancy","Yaaguun Gandlaay Conservancy Conservancy","555557362_YaaguunGandlaay_mp.pdf","Canada"
"237","Canada",555512149,"Gilbert Bay Marine Protected Area","Marine Protected Area","Gilbert Bay Marine Protected Area Marine Protected Area","555512149_GilbertBay_MPA.pdf","Canada"
"239","Canada",65411,"Smelt Bay Park","A - Park","Smelt Bay Park A - Park","65411_smeltbay_mp.pdf","Canada"
"240","Canada",613,"Auyuittuq National Park Of Canada","National Park","Auyuittuq National Park Of Canada National Park","613_Auyuittuq_NP.pdf","Canada"
"241","Canada",555557364,"Damaxyaa Conservancy","Conservancy","Damaxyaa Conservancy Conservancy","555557364_Damaxyaa Conservancy_MP.pdf","Canada"
"242","Canada",303274,"Bodega Ridge Park","A - Park","Bodega Ridge Park A - Park","303274_Bodega Ridge Provincial Park_PS_ZP.pdf","Canada"
"243","Canada",555516215,"Ugwiwey/Cape Caution Conservancy","Conservancy","Ugwiwey/Cape Caution Conservancy Conservancy","555516212_5555215_555516358_Ugwiwa-Cape-Caution-Allison-Conservancy_MP.pdf","Canada"
"246","Canada",101645,"God's Pocket Marine Park","A - Park","God's Pocket Marine Park A - Park","101645_Gods Pocket Marine Provincial Park_PS_ZP.pdf","Canada"
"248","Canada",555512150,"Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site","National Marine Conservation Area","Gwaii Haanas National Marine Conservation Area Reserve & Haida Heritage Site National Marine Conservation Area","5555512150_GwaiiHaanas_NMCA.pdf","Canada"
"249","Canada",555557361,"Kamdis Conservancy","Conservancy","Kamdis Conservancy Conservancy","555557361_Kamdis Conservancy_MP.pdf","Canada"
"250","Canada",167356,"Homathko Estuary Park","A - Park","Homathko Estuary Park A - Park","167356_Homathko Estuary Provincial Park_MDS.pdf","Canada"
"251","Canada",18422,"Tahsish River Ecological Reserve","Ecological Reserve","Tahsish River Ecological Reserve Ecological Reserve","18422_Tahsish River ER_PS.pdf","Canada"
"252","Canada",13394,"Queen Maud Gulf Migratory Bird Sanctuary","Migratory Bird Sanctuary","Queen Maud Gulf Migratory Bird Sanctuary Migratory Bird Sanctuary","13394_AhiakQueenMaudGulf_MBS.pdf","Canada"
"253","Canada",629,"Kejimkujik National Park And National Historic Site Of Canada","National Park","Kejimkujik National Park And National Historic Site Of Canada National Park","629_Kejimkujik_NP.pdf","Canada"
"256","Canada",101534,"Boundary Bay Wildlife Management Area","Wildlife Management Area","Boundary Bay Wildlife Management Area Wildlife Management Area","101534_BoundaryBay_WMA.pdf","Canada"
"258","Canada",67055,"Rugged Point Marine Park","A - Park","Rugged Point Marine Park A - Park","67055_Rugged Point Marine Park_PS_ZP.pdf","Canada"
